
---- Start ----

Hay 1 clases!
[Train] 334 muestras
[Validacion] 67 muestras

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.01
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 20
cutmix: False
selected_class: Huecos
img_size: 512
crop_size: 512
model_name: unet_extra_small
pretrained: False
validation_size: 0.15
output_dir: results/segmentation/Huecos/unet_extra_small_adam_512to512_lr0.01/
data_augmentation: True

-------------- START TRAINING --------------
[2020-09-18 07:48:43] Epoch: 40, LR: 0.00100000, Train IOU: 0.1817, Val IOU: 0.6340
[2020-09-18 07:49:17] Epoch: 41, LR: 0.00100000, Train IOU: 0.1775, Val IOU: 0.5693
[2020-09-18 07:49:52] Epoch: 42, LR: 0.00100000, Train IOU: 0.1843, Val IOU: 0.6251
[2020-09-18 07:50:27] Epoch: 43, LR: 0.00100000, Train IOU: 0.1785, Val IOU: 0.6163
[2020-09-18 07:51:02] Epoch: 44, LR: 0.00100000, Train IOU: 0.1662, Val IOU: 0.6389
[2020-09-18 07:51:36] Epoch: 45, LR: 0.00100000, Train IOU: 0.1814, Val IOU: 0.4507
[2020-09-18 07:52:10] Epoch: 46, LR: 0.00100000, Train IOU: 0.1802, Val IOU: 0.5574
[2020-09-18 07:52:44] Epoch: 47, LR: 0.00100000, Train IOU: 0.1892, Val IOU: 0.6192
[2020-09-18 07:53:20] Epoch: 48, LR: 0.00100000, Train IOU: 0.1798, Val IOU: 0.6152
[2020-09-18 07:53:54] Epoch: 49, LR: 0.00100000, Train IOU: 0.1921, Val IOU: 0.5657
[2020-09-18 07:54:30] Epoch: 50, LR: 0.00100000, Train IOU: 0.1886, Val IOU: 0.6423
[2020-09-18 07:55:04] Epoch: 51, LR: 0.00010000, Train IOU: 0.2059, Val IOU: 0.6511
[2020-09-18 07:55:39] Epoch: 52, LR: 0.00010000, Train IOU: 0.2013, Val IOU: 0.6418
[2020-09-18 07:56:14] Epoch: 53, LR: 0.00010000, Train IOU: 0.1903, Val IOU: 0.6411
[2020-09-18 07:56:50] Epoch: 54, LR: 0.00010000, Train IOU: 0.1725, Val IOU: 0.6461
[2020-09-18 07:57:26] Epoch: 55, LR: 0.00010000, Train IOU: 0.1843, Val IOU: 0.6472
[2020-09-18 07:58:01] Epoch: 56, LR: 0.00010000, Train IOU: 0.1911, Val IOU: 0.6529
[2020-09-18 07:58:37] Epoch: 57, LR: 0.00010000, Train IOU: 0.2066, Val IOU: 0.6560
[2020-09-18 07:59:11] Epoch: 58, LR: 0.00010000, Train IOU: 0.1982, Val IOU: 0.6557
[2020-09-18 07:59:46] Epoch: 59, LR: 0.00010000, Train IOU: 0.1984, Val IOU: 0.6577
[2020-09-18 08:00:21] Epoch: 60, LR: 0.00010000, Train IOU: 0.2040, Val IOU: 0.6519
[2020-09-18 08:00:55] Epoch: 61, LR: 0.00010000, Train IOU: 0.1893, Val IOU: 0.6527
[2020-09-18 08:01:30] Epoch: 62, LR: 0.00010000, Train IOU: 0.1793, Val IOU: 0.6651
[2020-09-18 08:02:05] Epoch: 63, LR: 0.00010000, Train IOU: 0.2071, Val IOU: 0.6645
[2020-09-18 08:02:41] Epoch: 64, LR: 0.00010000, Train IOU: 0.1826, Val IOU: 0.6566
[2020-09-18 08:03:17] Epoch: 65, LR: 0.00010000, Train IOU: 0.1746, Val IOU: 0.6631
[2020-09-18 08:03:53] Epoch: 66, LR: 0.00010000, Train IOU: 0.1909, Val IOU: 0.6665
[2020-09-18 08:04:28] Epoch: 67, LR: 0.00010000, Train IOU: 0.2020, Val IOU: 0.6685
[2020-09-18 08:05:03] Epoch: 68, LR: 0.00010000, Train IOU: 0.1836, Val IOU: 0.6757
[2020-09-18 08:05:37] Epoch: 69, LR: 0.00010000, Train IOU: 0.2094, Val IOU: 0.6604
[2020-09-18 08:06:12] Epoch: 70, LR: 0.00010000, Train IOU: 0.1890, Val IOU: 0.6570
[2020-09-18 08:06:47] Epoch: 71, LR: 0.00010000, Train IOU: 0.2041, Val IOU: 0.6631
[2020-09-18 08:07:22] Epoch: 72, LR: 0.00010000, Train IOU: 0.1944, Val IOU: 0.6617
[2020-09-18 08:07:57] Epoch: 73, LR: 0.00010000, Train IOU: 0.1980, Val IOU: 0.6636
[2020-09-18 08:08:31] Epoch: 74, LR: 0.00010000, Train IOU: 0.2073, Val IOU: 0.6615
[2020-09-18 08:09:07] Epoch: 75, LR: 0.00010000, Train IOU: 0.1932, Val IOU: 0.6766
[2020-09-18 08:09:41] Epoch: 76, LR: 0.00010000, Train IOU: 0.1950, Val IOU: 0.6764
[2020-09-18 08:10:16] Epoch: 77, LR: 0.00010000, Train IOU: 0.1887, Val IOU: 0.6529
[2020-09-18 08:10:49] Epoch: 78, LR: 0.00010000, Train IOU: 0.1927, Val IOU: 0.6468
[2020-09-18 08:11:23] Epoch: 79, LR: 0.00010000, Train IOU: 0.2062, Val IOU: 0.6629
[2020-09-18 08:11:59] Epoch: 80, LR: 0.00010000, Train IOU: 0.1872, Val IOU: 0.6643
[2020-09-18 08:12:33] Epoch: 81, LR: 0.00001000, Train IOU: 0.2060, Val IOU: 0.6667
[2020-09-18 08:13:07] Epoch: 82, LR: 0.00001000, Train IOU: 0.1784, Val IOU: 0.6626
[2020-09-18 08:13:42] Epoch: 83, LR: 0.00001000, Train IOU: 0.1904, Val IOU: 0.6639
[2020-09-18 08:14:17] Epoch: 84, LR: 0.00001000, Train IOU: 0.2063, Val IOU: 0.6646
[2020-09-18 08:14:52] Epoch: 85, LR: 0.00001000, Train IOU: 0.2011, Val IOU: 0.6690
[2020-09-18 08:15:28] Epoch: 86, LR: 0.00001000, Train IOU: 0.1883, Val IOU: 0.6621
[2020-09-18 08:16:03] Epoch: 87, LR: 0.00001000, Train IOU: 0.1752, Val IOU: 0.6564
[2020-09-18 08:16:37] Epoch: 88, LR: 0.00001000, Train IOU: 0.1890, Val IOU: 0.6640
[2020-09-18 08:17:12] Epoch: 89, LR: 0.00001000, Train IOU: 0.1898, Val IOU: 0.6600
[2020-09-18 08:17:46] Epoch: 90, LR: 0.00001000, Train IOU: 0.1788, Val IOU: 0.6649/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:452: UserWarning: Warning: converting a masked element to nan.
  dv = np.float64(self.norm.vmax) - np.float64(self.norm.vmin)
/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:459: UserWarning: Warning: converting a masked element to nan.
  a_min = np.float64(newmin)
/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:464: UserWarning: Warning: converting a masked element to nan.
  a_max = np.float64(newmax)
<__array_function__ internals>:5: UserWarning: Warning: converting a masked element to nan.
